Laptop,Status,Brand,Model,RAM,Storage,Storage type,Screen,Touch,Final Price,CPU_Brand,GPU_Brand,CPU_Type,GPU_Type,GPU_Category
"ASUS ExpertBook B1 B1502CBA-EJ0436X Intel Core i5-1235U/8GB/512GB SSD/15.6""",0,3,42,8,512,0,15.6,0,1009.0,2,3,11,7,1
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",0,1,54,8,256,0,15.6,0,299.0,2,3,1,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6""",0,3,42,8,256,0,15.6,0,789.0,2,3,10,7,1
"MSI Katana GF66 12UC-082XES Intel Core i7-12700H/16GB/1TB SSD/RTX3050/15.6""",0,14,58,16,1000,0,15.6,0,1199.0,2,6,12,22,0
"HP 15S-FQ5085NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",0,9,4,16,512,0,15.6,0,669.01,2,3,11,7,1
"MSI Crosshair 17 C12VF-264XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4060/17.3""",0,14,30,32,1000,0,17.3,0,1699.0,2,6,12,27,0
"Lenovo Thinkpad E14 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/14""",0,13,102,8,256,0,14.0,0,909.0,0,3,7,7,1
"ASUS VivoBook 15 F515JA-EJ2882W Intel Core i7-1065G7/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,809.01,2,3,12,7,1
"Medion Akoya E15415 Intel Core i5-10210U/8GB/256GB SSD/15.6""",0,15,15,8,256,0,15.6,0,519.0,2,3,11,7,1
"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",0,9,112,16,512,0,16.1,0,1149.0,2,6,12,22,0
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",0,13,108,8,256,0,15.6,0,349.0,2,3,1,7,1
"MSI Thin GF63 12VE-021XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4050/15.6""",0,14,100,16,1000,0,15.6,0,1399.0,2,6,12,26,0
"ASUS ROG Strix G15 G513RC-HN088 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",0,3,87,16,512,0,15.6,0,1199.0,0,6,8,22,0
"Lenovo V15 G3 ABA AMD Ryzen 5 5625U/16GB/512GB SSD/15.6""",0,13,108,16,512,0,15.6,0,476.99,0,3,7,7,1
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",0,13,56,8,256,0,15.6,0,391.0,0,3,6,7,1
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,699.0,2,3,11,7,1
"Lenovo IdeaPad 3 15IAU7 Intel Core i5-1235U/16GB/512GB SSD/15.6""",0,13,56,16,512,0,15.6,0,799.0,2,3,11,7,1
"HP 15S-FQ2163NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,549.0,2,3,10,7,1
"ASUS VivoBook 15 F515JA-EJ4134 Intel Core i7-1065G7/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,769.0,2,3,12,7,1
"MSI GF63 Thin 11UC-446XES Intel Core i7-11800H/16GB/512GB SSD/RTX 3050/15.6""",0,14,100,16,512,0,15.6,0,999.0,2,6,12,22,0
"MSI Cyborg 15 A12VF-098XES Intel Core i5-12450H/16GB/1TB SSD/RTX 4060/15.6""",0,14,31,16,1000,0,15.6,0,1249.0,2,6,11,27,0
"ASUS M515UA-EJ486W AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",0,3,64,16,512,0,15.6,0,789.0,0,3,8,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",0,13,56,16,512,0,15.6,0,729.0,0,3,8,7,1
"ASUS TUF Gaming F15 FX506HC-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/15.6""",0,3,98,16,512,0,15.6,0,1099.0,2,6,11,22,0
"Acer Aspire 3 A315-59-37GX Intel Core i3-1215U/8GB/256GB SSD/15.6""",0,0,19,8,256,0,15.6,0,539.01,2,3,10,7,1
"ASUS TUF Gaming F15 FX507ZC4-HN002 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/15.6""",0,3,98,16,512,0,15.6,0,1179.0,2,6,12,22,0
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/14""",0,1,54,8,256,0,14.0,0,239.0,2,3,1,7,1
"HP Victus 15-fa0012ns Intel Core i5-12500H/16GB/512GB SSD/RTX 3050/15.6""",0,9,112,16,512,0,15.6,0,999.0,2,6,11,22,0
"HP Pavilion 15-eh1004ns AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",0,9,79,16,512,0,15.6,0,799.0,0,3,7,7,1
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,519.01,2,3,11,7,1
"HP 15S-FQ5028NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",0,9,4,16,512,0,15.6,0,789.0,2,3,11,7,1
"MSI Katana 15 B12VFK-095XES Intel Core i7-12650H/16GB/512GB SSD/RTX 4060/15.6""",0,14,58,16,512,0,15.6,0,1549.0,2,6,12,27,0
"ASUS VivoBook F1500EA-EJ2384W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,113,8,256,0,15.6,0,539.01,2,3,10,7,1
"HP 15S-fq2159ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,539.0,2,3,10,7,1
"MSI Vector GP77 13VF-022XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/17.3""",0,14,111,32,1000,0,17.3,0,2249.0,2,6,12,27,0
"ASUS VivoBook Pro 15 OLED M6500QC-L1010W AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050/15.6""",0,3,113,16,512,0,15.6,0,1299.01,0,6,8,22,0
"ASUS ROG Strix G15 G513RC-HF094 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX3050/15.6""",0,3,87,16,512,0,15.6,0,1139.01,0,6,8,22,0
"ASUS Chromebook CX1500CNA-EJ0100 Intel Celeron N3350/8GB/64GB eMMC/15.6""",0,3,26,8,64,1,15.6,0,399.0,2,3,1,7,1
"HP 15S-fq5101ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,9,4,16,512,0,15.6,0,789.0,2,3,12,7,1
"HP 15S-EQ2090NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,599.01,0,3,7,7,1
HP Omen 16-b1022ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/16.1'',0,9,76,32,1000,0,16.1,0,1699.0,2,6,12,23,0
"ASUS VivoBook 15 F1502ZA-EJ733 Intel Core i5-1235U/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,609.0,2,3,11,7,1
"Asus ZenBook 13 OLED UX325EA-KG245 Intel Core i7-1165G7/16GB/512GB SSD/13.3""",0,3,120,16,512,0,13.3,0,1089.0,2,3,12,7,1
HP Victus 16-d1033ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/16.1'',0,9,112,16,512,0,16.1,0,1399.0,2,6,12,23,0
"HP 15S-fq5055ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,9,4,16,512,0,15.6,0,899.01,2,3,12,7,1
"HP 15S-eq2087ns AMD Ryzen 5 5500U/12GB/512GB SSD/15.6""",0,9,4,12,512,0,15.6,0,549.0,0,3,7,7,1
"Lenovo IdeaPad Gaming 3 15IHU6 Intel Core i5-11320H/16GB/512GB SSD/RTX3050/15.6""",0,13,56,16,512,0,15.6,0,929.0,2,6,11,22,0
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",0,14,29,32,1000,0,16.0,0,1899.01,2,6,12,26,0
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",0,13,56,16,512,0,15.6,0,829.0,0,3,8,7,1
"HP 15S-fq2158ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,449.0,2,3,10,7,1
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",0,2,65,8,256,0,13.3,0,1219.0,1,3,2,7,1
"Lenovo ThinkBook 14 Intel Core i5-1135G7/8GB/256GB SSD/14""",0,13,101,8,256,0,14.0,0,699.0,2,3,11,7,1
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",0,3,98,16,1000,0,15.6,0,1349.0,0,6,8,27,0
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",0,14,58,16,1000,0,15.6,0,1699.0,2,6,12,28,0
"ASUS M515UA-EJ522W AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",0,3,64,8,512,0,15.6,0,699.0,0,3,7,7,1
"HP Victus 16-e0101ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3060/16.1""",0,9,112,16,512,0,16.1,0,1299.01,0,6,8,23,0
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",0,9,7,8,256,0,15.6,0,399.0,2,3,1,7,1
"HP OMEN 16-C0042NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050 Ti/16.1""",0,9,76,16,512,0,16.1,0,1149.0,0,6,8,22,0
"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",0,14,68,16,512,0,15.6,0,839.0,0,3,7,7,1
"HP 255 G9 AMD Athlon 3020e/8GB/512GB SSD/15.6""",0,9,8,8,512,0,15.6,0,379.0,0,3,0,7,1
"ASUS VivoBook 15 F1500EA-EJ3022 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",0,3,113,16,512,0,15.6,0,809.01,2,3,12,7,1
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6""",0,13,108,8,512,0,15.6,0,779.0,2,3,11,7,1
"ASUS VivoBook 15 F1500EA-EJ3023 Intel Core i7-1165G7/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,749.0,2,3,12,7,1
"MSI Thin GF63 12VE-009XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",0,14,100,16,512,0,15.6,0,1099.0,2,6,11,26,0
"MSI Modern 15 B13M-281XES Intel Core i7-1355U/16GB/1TB SSD/15.6""",0,14,68,16,1000,0,15.6,0,999.0,2,3,12,7,1
"HP 15S-eq2088ns AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",0,9,4,16,512,0,15.6,0,649.01,0,3,8,7,1
"MSI Vector GP77 13VG-021XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",0,14,111,32,1000,0,17.3,0,2499.0,2,6,12,28,0
"ASUS VivoBook 15 F1500EA-EJ3067W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",0,3,113,8,512,0,15.6,0,859.0,2,3,12,7,1
"MSI Creator M16 B12UDX-809XES Intel Core i7-12650H/32GB/1TB SSD/RTX 3050/16""",0,14,29,32,1000,0,16.0,0,1499.01,2,6,12,22,0
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Plata",0,2,66,8,256,0,13.3,0,1599.0,1,3,2,7,1
"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",0,3,98,32,512,0,15.6,0,1699.01,0,6,9,28,0
"MSI Katana 15 B13VFK-031XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6""",0,14,58,16,1000,0,15.6,0,1699.0,2,6,12,27,0
"HP Victus 16-d1021ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16.1""",0,9,112,16,512,0,16.1,0,1199.0,2,6,12,22,0
"MSI Modern 14 C13M-426XES Intel Core i7-1355U/16GB/1TB SSD/14""",0,14,68,16,1000,0,14.0,0,999.0,2,3,12,7,1
"MSI Modern 15 B12M-430XES Intel Core i3-1215U/8GB/256GB SSD/15.6""",0,14,68,8,256,0,15.6,0,499.0,2,3,10,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",0,13,56,8,256,0,15.6,0,499.0,0,3,6,7,1
"MSI Prestige 14H B12UCX-414XES Intel Core i5-12450H/16GB/512GB SSD/RTX 2050/14""",0,14,83,16,512,0,14.0,0,999.0,2,6,11,17,0
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512 GB SSD/15.6""",0,13,56,16,512,0,15.6,0,749.0,2,3,12,7,1
"Lenovo ThinkBook 15 G2 ITL Intel Core i5-1135G7/8 GB/256GB SSD/15.6"" Gris",0,13,101,8,256,0,15.6,0,879.0,2,3,11,7,1
"MSI Prestige 14H B12UCX-413XES Intel Core i7-12650H/16GB/1TB SSD/RTX 2050/14""",0,14,83,16,1000,0,14.0,0,1489.0,2,6,12,17,0
"HP Pavilion 15-eg2004ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",0,9,79,16,512,0,15.6,0,999.0,2,3,12,7,1
"HP Victus 15-fa0026ns Intel Core i5-12450H/16GB/512GB SSD/GTX 1650/15.6""",0,9,112,16,512,0,15.6,0,999.0,2,2,11,5,2
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8 GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,589.0,2,3,11,7,1
"Lenovo ThinkBook 14 G4 IAP Intel Core i5-1235U/8GB/256GB SSD/14""",0,13,101,8,256,0,14.0,0,959.0,2,3,11,7,1
"HP Victus 15-fa0004ns Intel Core i5-12500H/16GB/512GB SSD/GTX 1650/15.6""",0,9,112,16,512,0,15.6,0,1039.0,2,2,11,5,2
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8GB/512GBSSD/15.6""",0,13,56,8,512,0,15.6,0,599.0,0,3,7,7,1
"HP 15S-fq5094ns Intel Core i7-1255U/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,739.01,2,3,12,7,1
"MSI Stealth 16 Studio A13VF-038XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",0,14,92,32,1000,0,16.0,0,2449.0,2,6,12,27,0
"Acer Aspire 5 A515-57-76BV Intel Core i7-1255U/8GB/512GB SSD/15.6""",0,0,19,8,512,0,15.6,0,839.0,2,3,12,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8 GB/256GB SSD/15.6""",0,13,56,8,256,0,15.6,0,499.0,0,3,6,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8 GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,699.0,0,3,8,7,1
"MSI Pulse 15 B13VFK-448XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/15.6""",0,14,86,32,1000,0,15.6,0,2399.01,2,6,13,27,0
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/128GB SSD/15.6""",0,13,56,4,128,0,15.6,0,442.99,0,3,3,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,689.01,0,3,7,7,1
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16 GB/512GB SSD/15.6""",0,13,56,16,512,0,15.6,0,749.0,2,3,11,7,1
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/256GB SSD/15.6""",0,13,56,4,256,0,15.6,0,321.99,0,3,3,7,1
"MSI Modern 15 B11M-043XES Intel Core i5-1155G7/8GB/512GB SSD/15.6""",0,14,68,8,512,0,15.6,0,599.0,2,3,11,7,1
"ASUS ZenBook 13 OLED UX325EA-KG448W Intel Core i7-1165G7/16GB/512GB SSD/13.3""",0,3,120,16,512,0,13.3,0,1199.0,2,3,12,7,1
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",0,3,98,16,512,0,15.6,0,949.0,2,6,11,17,0
"ASUS VivoBook F1605PA-MB125W Intel Core i5-11300H/16GB/512GB SSD/16""",0,3,113,16,512,0,16.0,0,799.0,2,3,11,7,1
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",0,21,22,16,1000,0,15.6,0,3299.99,2,6,12,24,0
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/256GB SSD/15.6""",0,15,15,8,256,0,15.6,0,478.99,0,3,8,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0469X Intel Core i5-1235U/8GB/256GB SSD/15.6""",0,3,42,8,256,0,15.6,0,989.0,2,3,11,7,1
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",0,13,56,8,256,0,15.6,0,439.99,0,3,6,7,1
"HP 15S-eq2089ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,529.0,0,3,6,7,1
"ASUS VivoBook F1605PA-MB143 Intel Core i7-11370H/8GB/512GB SSD/16""",0,3,113,8,512,0,16.0,0,709.0,2,3,12,7,1
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",0,3,113,8,512,0,15.6,0,509.99,0,0,7,0,3
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,659.0,0,3,7,7,1
